iter	Passed	Remaining
812	31674	357923
813	31714	357893
814	31752	357854
815	31792	357817
816	31830	357774
817	31870	357742
818	31911	357724
819	31950	357688
820	31988	357637
821	32027	357596
822	32065	357550
823	32104	357514
824	32147	357518
825	32186	357482
826	32225	357444
827	32261	357375
828	32300	357329
829	32338	357282
830	32376	357235
831	32416	357206
832	32455	357164
833	32493	357117
834	32533	357084
835	32573	357066
836	32613	357037
837	32653	357004
838	32691	356955
839	32730	356914
840	32767	356860
841	32805	356811
842	32844	356773
843	32882	356724
844	32923	356703
845	32961	356654
846	32999	356607
847	33038	356570
848	33078	356540
849	33117	356498
850	33156	356460
851	33195	356419
852	33234	356388
853	33276	356373
854	33314	356332
855	33352	356283
856	33390	356230
857	33428	356184
858	33467	356144
859	33506	356108
860	33544	356051
861	33582	356008
862	33620	355959
863	33659	355917
864	33698	355880
865	33739	355866
866	33778	355826
867	33817	355784
868	33858	355767
869	33899	355746
870	33938	355709
871	33976	355657
872	34013	355598
873	34052	355560
874	34092	355537
875	34131	355496
876	34171	355469
877	34212	355450
878	34250	355402
879	34289	355359
880	34328	355325
881	34367	355291
882	34406	355248
883	34446	355215
884	34481	355144
885	34521	355115
886	34562	355097
887	34600	355042
888	34639	355006
889	34676	354950
890	34717	354924
891	34758	354908
892	34801	354915
893	34842	354889
894	34881	354859
895	34921	354830
896	34961	354800
897	35001	354772
898	35038	354712
899	35075	354655
900	35114	354613
901	35153	354570
902	35195	354569
903	35236	354551
904	35276	354522
905	35315	354481
906	35355	354447
907	35396	354434
908	35437	354414
909	35478	354394
910	35517	354359
911	35557	354326
912	35599	354319
913	35638	354283
914	35679	354263
915	35715	354194
916	35755	354166
917	35796	354143
918	35835	354101
919	35874	354061
920	35915	354042
921	35953	354000
922	35991	353953
923	36034	353951
924	36074	353924
925	36115	353902
926	36155	353874
927	36194	353835
928	36229	353752
929	36268	353711
930	36304	353650
931	36346	353636
932	36385	353594
933	36423	353546
934	36459	353485
935	36499	353449
936	36539	353421
937	36580	353406
938	36620	353377
939	36659	353337
940	36698	353299
941	36738	353263
942	36778	353236
943	36815	353177
944	36854	353141
945	36893	353104
946	36933	353073
947	36972	353030
948	37011	352990
949	37048	352940
950	37088	352907
951	37127	352866
952	37168	352848
953	37206	352799
954	37246	352769
955	37286	352739
956	37324	352691
957	37362	352646
958	37402	352614
959	37442	352587
960	37483	352562
961	37525	352548
962	37565	352527
963	37607	352509
964	37648	352494
965	37686	352445
966	37727	352419
967	37767	352390
968	37810	352391
969	37849	352349
970	37889	352321
971	37929	352293
972	37969	352259
973	38009	352232
974	38050	352208
975	38089	352173
976	38129	352142
977	38168	352103
978	38209	352083
979	38248	352043
980	38288	352015
981	38329	351988
982	38369	351957
983	38411	351949
984	38450	351912
985	38492	351894
986	38531	351857
987	38571	351825
988	38610	351787
989	38649	351752
990	38691	351736
991	38730	351698
